n= 20;

//distance matrix
d = [
	[0,226,17,586,58,369,0,36,212,34,305,65,410,145,530,49,397,68,281,89],
    [226,0,205,324,68,205,226,250,10,104,377,49,52,113,160,261,41,218,325,65],
    [17,205,0,421,37,242,17,5,169,17,178,58,333,74,405,10,328,17,160,50],
    [586,324,421,0,320,25,586,394,226,356,125,373,160,149,52 ,369,185,290,109,245],
    [58,68,37,320,0,169,58,58,50,4,205,5,160,37,244,65,153,50,173,5],
    [369,205,242,25,169,0,369,225,125,193,68,212,113,52,53,208,130,149,50,116],
    [0,226,17,586,58,369,0,36,212,34,305,65,410,145,530,49,397,68,281,89],
    [36,250,5,394,58,225,36,0,200,34,137,89,362,73,410,1,361,8,125,65 ],
    [212,10,169,226,50,125,212,200,0,82,269,45,34,61,106,205,29,160,225,37],
    [34,104,17,356,4,193,34,34,82,0,197,13,212,45,296,41,205,34,169,13] ,
    [305,377,178,125,205,68,305,137,269,197,0,272,325,80,241,116,346,85,2,160],
    [65,49,58,373,5,212,65,89,45,13,272,0,157,64,265,100,146,85,234,16],
    [410,52,333,160,160,113,410,362,34,212,325,157,0,125,36,361,1,290,277,125],
    [145,113,74,149,37,52,145,73,61,45,80,64,125,0,137,68,130,37,58,16],
    [530,160,405,52,244,53,530,410,106,296,241,265,36,137,0,397,49,314,205,185],
    [49,261,10,369,65,208,49,1,205,41,116,100,361,68,397,0,362,5,106,68],
    [397,41,328,185,153,130,397,361,29,205,346,146,1,130,49,362,0,293,296,122],
    [68,218,17,290,50,149,68,8,160,34,85,85,290,37,314,5,293,0,73,45],
    [281,325,160,109,173,50,281,125,225,169,2,234,277,58,205,106,296,73,0,130],
    [89,65,50,245,5,116,89,65,37,13,160,16,125,16,185,68,122,45,130,0]
   ];

//sub tours
subTours = {};
